# Matter power spectrum P(k) at redshift z=0
# for k=1.04892e-05 to 5.37537 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.395841876699e-01       2.977797286892e+02 
       5.428108960266e-01       2.940973992148e+02 
       5.460376045150e-01       2.904780826460e+02 
       5.492643131325e-01       2.869236344030e+02 
       5.524910218770e-01       2.834364652234e+02 
       5.557177307462e-01       2.800133628935e+02 
       5.589444397380e-01       2.766543125982e+02 
       5.621711488502e-01       2.733570573687e+02 
       5.653978580809e-01       2.701201561849e+02 
       5.686245674278e-01       2.669452074831e+02 
       5.959647054051e-01       2.421425629787e+02 
       6.268697705427e-01       2.176489472034e+02 
       6.626118374755e-01       1.935350215906e+02 
       7.052623575234e-01       1.693160408248e+02 
       7.584502103838e-01       1.446667092929e+02 
       8.291025045408e-01       1.189857128696e+02 
       9.315437494177e-01       9.172043466606e+01 
       1.094616907416e+00       6.337928912640e+01 
       1.351892732807e+00       3.839015189454e+01 
       1.699868457971e+00       2.170419422208e+01 
       2.139973477514e+00       1.201018955129e+01 
       2.694066883371e+00       6.526493104481e+00 
       3.391629260502e+00       3.533730510923e+00 
       4.269808263431e+00       1.934646098710e+00 
       5.375370126322e+00       1.083627578253e+00 
