# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  111       4.118823867957e-10       1.248296110182e-13      -4.099719365449e-12       0.000000000000e+00       7.641160638893e-12       1.164501570560e-12      -6.531010012290e-15 
  112       4.163642266464e-10       1.264815703071e-13      -4.185710388931e-12       0.000000000000e+00       7.458431747034e-12       1.143057172664e-12      -6.466948831460e-15 
  113       4.208655922928e-10       1.280919786830e-13      -4.270948542306e-12       0.000000000000e+00       7.281183954207e-12       1.122179509591e-12      -6.401817852878e-15 
  114       4.253859070069e-10       1.296592159704e-13      -4.355359960926e-12       0.000000000000e+00       7.109376555102e-12       1.101863722208e-12      -6.335659674097e-15 
  115       4.299244886106e-10       1.311816807988e-13      -4.438870350373e-12       0.000000000000e+00       6.942932786475e-12       1.082100727165e-12      -6.268513715426e-15 
  116       4.344805460033e-10       1.326577918269e-13      -4.521405014486e-12       0.000000000000e+00       6.781738725447e-12       1.062877086694e-12      -6.200416062354e-15 
  117       4.390531756901e-10       1.340859889682e-13      -4.602888883385e-12       0.000000000000e+00       6.625642187799e-12       1.044174878413e-12      -6.131399307984e-15 
  118       4.436413583102e-10       1.354647346154e-13      -4.683246541502e-12       0.000000000000e+00       6.474451626275e-12       1.025971565123e-12      -6.061492395465e-15 
  119       4.482439551645e-10       1.367925148659e-13      -4.762402255602e-12       0.000000000000e+00       6.327935028875e-12       1.008239864618e-12      -5.990720460422e-15 
  120       4.528597047442e-10       1.380678407463e-13      -4.840280002817e-12       0.000000000000e+00       6.185818817157e-12       9.909476194791e-13      -5.919104673387e-15 
  121       4.574872192584e-10       1.392892494379e-13      -4.916803498665e-12       0.000000000000e+00       6.047786744532e-12       9.740576668782e-13      -5.846662082232e-15 
  122       4.621249811628e-10       1.404553055010e-13      -4.991896225085e-12       0.000000000000e+00       5.913478794564e-12       9.575277083819e-13      -5.773405454596e-15 
  123       4.667715260223e-10       1.415646498371e-13      -5.065482431931e-12       0.000000000000e+00       5.782568860627e-12       9.413202370644e-13      -5.699368151152e-15 
  124       4.714260222837e-10       1.426161503330e-13      -5.137490212061e-12       0.000000000000e+00       5.655010236259e-12       9.254338875179e-13      -5.624682316576e-15 
  125       4.760877518756e-10       1.436087709122e-13      -5.207848833987e-12       0.000000000000e+00       5.530816382279e-12       9.098754587923e-13      -5.549509416181e-15 
  126       4.807559278540e-10       1.445415269319e-13      -5.276487835358e-12       0.000000000000e+00       5.409984194567e-12       8.946501291233e-13      -5.474016048615e-15 
  127       4.854296923962e-10       1.454134867841e-13      -5.343337058653e-12       0.000000000000e+00       5.292493522204e-12       8.797614048636e-13      -5.398373985234e-15 
  128       4.901081147951e-10       1.462237734956e-13      -5.408326686856e-12       0.000000000000e+00       5.178306685603e-12       8.652110694130e-13      -5.322760209467e-15 
  129       4.947901894533e-10       1.469715663290e-13      -5.471387279154e-12       0.000000000000e+00       5.067367994646e-12       8.509991321500e-13      -5.247356956190e-15 
  130       4.994748338774e-10       1.476561023833e-13      -5.532449806613e-12       0.000000000000e+00       4.959603266822e-12       8.371237773622e-13      -5.172351751092e-15 
  131       5.041608866719e-10       1.482766781938e-13      -5.591445687870e-12       0.000000000000e+00       4.854919345358e-12       8.235813131769e-13      -5.097937450042e-15 
  132       5.088471055333e-10       1.488326513335e-13      -5.648306824815e-12       0.000000000000e+00       4.753203617359e-12       8.103661204927e-13      -5.024312278467e-15 
  133       5.135321652448e-10       1.493234420129e-13      -5.702965638280e-12       0.000000000000e+00       4.654323531943e-12       7.974706019095e-13      -4.951679870709e-15 
  134       5.182146556696e-10       1.497485346814e-13      -5.755355103723e-12       0.000000000000e+00       4.558126118374e-12       7.848851306597e-13      -4.880249309405e-15 
